Date,Open,High,Low,Close,Adj_Close,Volume,Direction
2007-09-17,"4,518.45","4,549.05","4,482.85",4494.65,"4,494.65",-,0
2007-09-18,"4,494.10","4,551.80","4,481.55",4546.2,"4,546.20",-,1
2007-09-19,"4,550.25","4,739.00","4,550.25",4732.35,"4,732.35",-,1
2007-09-20,"4,734.85","4,760.85","4,721.15",4747.55,"4,747.55",-,1
2007-09-21,"4,752.95","4,855.70","4,733.70",4837.55,"4,837.55",-,1
2007-09-24,"4,837.15","4,941.15","4,837.15",4932.2,"4,932.20",-,1
2007-09-25,"4,939.10","4,953.90","4,878.15",4938.85,"4,938.85",-,1
2007-09-26,"4,937.60","4,980.85","4,930.35",4940.5,"4,940.50",-,1
2007-09-27,"4,942.70","5,016.40","4,942.70",5000.55,"5,000.55",-,1
2007-09-28,"4,996.45","5,055.80","4,996.45",5021.35,"5,021.35",-,1
2007-10-01,"5,021.50","5,089.30","5,001.35",5068.95,"5,068.95",-,1
2007-10-03,"5,069.00","5,261.35","5,034.15",5210.8,"5,210.80",-,1
2007-10-04,"5,211.65","5,233.10","5,126.05",5208.65,"5,208.65",-,0
2007-10-05,"5,208.15","5,248.55","5,164.50",5185.85,"5,185.85",-,0
2007-10-08,"5,186.25","5,249.30","5,024.75",5085.1,"5,085.10",-,0
2007-10-09,"5,062.65","5,348.70","5,000.95",5327.25,"5,327.25",-,1
2007-10-10,"5,328.15","5,454.70","5,328.15",5441.45,"5,441.45",-,1
2007-10-11,"5,438.90","5,532.75","5,424.25",5524.85,"5,524.85",-,1
2007-10-12,"5,525.30","5,549.30","5,402.60",5428.25,"5,428.25",-,0
2007-10-15,"5,428.35","5,682.65","5,419.90",5670.4,"5,670.40",-,1
2007-10-16,"5,670.65","5,708.35","5,578.45",5668.05,"5,668.05",-,0
2007-10-17,"5,658.90","5,658.90","5,107.30",5559.3,"5,559.30",-,0
2007-10-18,"5,551.10","5,736.80","5,269.65",5351.0,"5,351.00",-,0
2007-10-19,"5,360.35","5,390.85","5,101.75",5215.3,"5,215.30",-,0
2007-10-22,"5,202.75","5,247.40","5,070.90",5184.0,"5,184.00",-,0
2007-10-23,"5,185.30","5,488.50","5,176.85",5473.7,"5,473.70",-,1
2007-10-24,"5,477.60","5,577.90","5,419.40",5496.15,"5,496.15",-,1
2007-10-25,"5,499.05","5,605.95","5,469.30",5568.95,"5,568.95",-,1
2007-10-26,"5,564.25","5,716.90","5,513.35",5702.3,"5,702.30",-,1
2007-10-29,"5,708.90","5,922.50","5,708.90",5905.9,"5,905.90",-,1
2007-10-30,"5,917.55","5,976.00","5,833.90",5868.75,"5,868.75",-,0
2007-10-31,"5,868.90","5,952.25","5,861.30",5900.65,"5,900.65",-,1
2007-11-01,"5,903.80","6,011.95","5,837.20",5866.45,"5,866.45",-,0
2007-11-02,"5,854.85","5,944.75","5,714.25",5932.4,"5,932.40",-,1
2007-11-05,"5,931.90","5,948.55","5,819.60",5847.3,"5,847.30",-,0
2007-11-06,"5,847.10","5,957.20","5,759.95",5786.5,"5,786.50",-,0
2007-11-07,"5,782.40","5,861.35","5,744.30",5782.35,"5,782.35",-,0
2007-11-08,"5,779.30","5,780.80","5,646.75",5698.75,"5,698.75",-,0
2007-11-12,"5,660.60","5,660.60","5,477.50",5617.1,"5,617.10",-,0
2007-11-13,"5,612.35","5,758.85","5,591.60",5695.4,"5,695.40",-,1
2007-11-14,"5,703.95","5,950.20","5,700.05",5937.9,"5,937.90",-,1
2007-11-15,"5,942.70","5,966.95","5,895.65",5912.1,"5,912.10",-,0
2007-11-16,"5,913.15","5,948.05","5,817.40",5906.85,"5,906.85",-,0
2007-11-19,"5,908.05","5,981.80","5,893.80",5907.65,"5,907.65",-,1
2007-11-20,"5,911.25","5,923.70","5,755.80",5780.9,"5,780.90",-,0
2007-11-21,"5,778.80","5,790.05","5,530.85",5561.05,"5,561.05",-,0
2007-11-22,"5,564.65","5,608.65","5,394.35",5519.35,"5,519.35",-,0
2007-11-23,"5,524.30","5,638.60","5,514.75",5608.6,"5,608.60",-,1
2007-11-26,"5,611.30","5,772.55","5,608.95",5731.7,"5,731.70",-,1
2007-11-27,"5,729.25","5,743.55","5,655.60",5698.15,"5,698.15",-,0
2007-11-28,"5,699.55","5,749.95","5,595.50",5617.55,"5,617.55",-,0
2007-11-29,"5,617.80","5,725.00","5,612.10",5634.6,"5,634.60",-,1
2007-11-30,"5,633.90","5,782.55","5,632.65",5762.75,"5,762.75",-,1
2007-12-03,"5,765.45","5,878.80","5,754.60",5865.0,"5,865.00",-,1
2007-12-04,"5,870.20","5,897.25","5,840.30",5858.35,"5,858.35",-,0
2007-12-05,"5,861.90","5,949.30","5,859.95",5940.0,"5,940.00",-,1
2007-12-06,"5,941.05","6,027.05","5,919.80",5954.7,"5,954.70",-,1
2007-12-07,"5,963.60","6,042.10","5,894.80",5974.3,"5,974.30",-,1
2007-12-10,"5,974.00","6,015.30","5,923.35",5960.6,"5,960.60",-,0
2007-12-11,"5,960.40","6,111.20","5,960.40",6097.25,"6,097.25",-,1
2007-12-12,"6,067.05","6,175.65","6,005.45",6159.3,"6,159.30",-,1
2007-12-13,"6,159.25","6,185.40","6,040.40",6058.1,"6,058.10",-,0
2007-12-14,"6,056.20","6,078.55","6,015.05",6047.7,"6,047.70",-,0
2007-12-17,"6,037.95","6,039.95","5,740.60",5777.0,"5,777.00",-,0
2007-12-18,"5,777.60","5,874.60","5,710.60",5742.3,"5,742.30",-,0
2007-12-19,"5,730.25","5,840.80","5,676.70",5751.15,"5,751.15",-,1
2007-12-20,"5,751.75","5,799.50","5,742.75",5766.5,"5,766.50",-,1
2007-12-24,"5,771.30","6,001.05","5,771.30",5985.1,"5,985.10",-,1
2007-12-26,"5,988.45","6,085.25","5,988.45",6070.75,"6,070.75",-,1
2007-12-27,"6,069.00","6,110.85","6,060.20",6081.5,"6,081.50",-,1
2007-12-28,"6,079.55","6,098.60","6,021.90",6079.7,"6,079.70",-,0
2007-12-31,"6,095.00","6,167.75","6,095.00",6138.6,"6,138.60",-,1
2008-01-01,"6,136.75","6,165.35","6,109.85",6144.35,"6,144.35",-,1
2008-01-02,"6,144.70","6,197.00","6,060.85",6179.4,"6,179.40",-,1
2008-01-03,"6,184.25","6,230.15","6,126.40",6178.55,"6,178.55",-,0
2008-01-04,"6,179.10","6,300.05","6,179.10",6274.3,"6,274.30",-,1
2008-01-07,"6,271.00","6,289.80","6,193.35",6279.1,"6,279.10",-,1
2008-01-08,"6,282.45","6,357.10","6,221.60",6287.85,"6,287.85",-,1
2008-01-09,"6,287.55","6,338.30","6,231.25",6272.0,"6,272.00",-,0
2008-01-10,"6,278.10","6,347.00","6,142.90",6156.95,"6,156.95",-,0
2008-01-11,"6,166.65","6,224.20","6,112.55",6200.1,"6,200.10",-,1
2008-01-14,"6,208.80","6,244.15","6,172.00",6206.8,"6,206.80",-,1
2008-01-15,"6,226.35","6,260.45","6,053.30",6074.25,"6,074.25",-,0
2008-01-16,"6,065.00","6,065.00","5,825.75",5935.75,"5,935.75",-,0
2008-01-17,"5,937.95","6,013.15","5,880.30",5913.2,"5,913.20",-,0
2008-01-18,"5,907.75","5,908.75","5,677.00",5705.3,"5,705.30",-,0
2008-01-21,"5,705.00","5,705.00","4,977.10",5208.8,"5,208.80",-,0
2008-01-22,"5,203.35","5,203.35","4,448.50",4899.3,"4,899.30",-,0
2008-01-23,"4,903.05","5,328.05","4,891.60",5203.4,"5,203.40",-,1
2008-01-24,"5,208.00","5,357.20","4,995.80",5033.45,"5,033.45",-,0
2008-01-25,"5,035.05","5,399.25","5,035.05",5383.35,"5,383.35",-,1
2008-01-28,"5,380.95","5,380.95","5,071.00",5274.1,"5,274.10",-,0
2008-01-29,"5,279.55","5,391.60","5,225.25",5280.8,"5,280.80",-,1
2008-01-30,"5,283.75","5,314.30","5,142.25",5167.6,"5,167.60",-,0
2008-01-31,"5,172.25","5,251.65","5,071.15",5137.45,"5,137.45",-,0
2008-02-01,"5,140.60","5,339.95","5,090.75",5317.25,"5,317.25",-,1
2008-02-04,"5,315.55","5,545.20","5,315.55",5463.5,"5,463.50",-,1
2008-02-05,"5,463.75","5,500.60","5,412.95",5483.9,"5,483.90",-,1
2008-02-06,"5,470.40","5,470.40","5,257.05",5322.55,"5,322.55",-,0
2008-02-07,"5,322.55","5,344.60","5,113.85",5133.25,"5,133.25",-,0
2008-02-08,"5,132.10","5,173.85","5,034.25",5120.35,"5,120.35",-,0
2008-02-11,"5,120.55","5,126.40","4,803.60",4857.0,"4,857.00",-,0
2008-02-12,"4,877.85","4,949.60","4,820.45",4838.25,"4,838.25",-,0
2008-02-13,"4,836.55","4,986.55","4,836.55",4929.45,"4,929.45",-,1
2008-02-14,"4,944.65","5,220.25","4,944.65",5202.0,"5,202.00",-,1
2008-02-15,"5,202.85","5,315.40","5,104.75",5302.9,"5,302.90",-,1
2008-02-18,"5,304.45","5,348.60","5,224.00",5276.9,"5,276.90",-,0
