Date,Open,High,Low,Close,Adj_Close,Volume,Significant_Move
2007-09-17,"4,645.85","4,673.25","4,562.70",4573.55,"4,573.55",-,1
2007-09-18,"4,577.70","4,593.35","4,558.60",4576.75,"4,576.75",-,0
2007-09-19,"4,674.10","4,700.75","4,650.25",4667.3,"4,667.30",-,0
2007-09-20,"4,666.00","4,666.00","4,558.20",4566.05,"4,566.05",-,1
2007-09-21,"4,559.15","4,632.10","4,476.85",4603.85,"4,603.85",-,0
2007-09-24,"4,605.70","4,631.75","4,539.95",4560.25,"4,560.25",-,0
2007-09-25,"4,581.60","4,592.70","4,520.95",4540.6,"4,540.60",-,0
2007-09-26,"4,608.15","4,725.05","4,570.75",4703.4,"4,703.40",-,0
2007-09-27,"4,754.25","4,841.00","4,745.55",4816.2,"4,816.20",-,0
2007-09-28,"4,790.65","4,882.85","4,769.45",4804.2,"4,804.20",-,0
2007-10-01,"4,813.35","4,813.35","4,696.00",4766.95,"4,766.95",-,0
2007-10-03,"4,735.85","4,943.65","4,735.85",4920.1,"4,920.10",-,0
2007-10-04,"4,917.30","4,922.55","4,843.35",4908.0,"4,908.00",-,0
2007-10-05,"4,908.90","4,912.55","4,842.70",4868.45,"4,868.45",-,0
2007-10-08,"4,887.25","4,943.90","4,846.55",4895.9,"4,895.90",-,0
2007-10-09,"4,896.85","5,025.35","4,880.60",5015.4,"5,015.40",-,0
2007-10-10,"5,027.05","5,187.35","5,027.05",5171.6,"5,171.60",-,0
2007-10-11,"5,109.75","5,109.75","4,899.95",4947.3,"4,947.30",-,1
2007-10-12,"4,898.90","4,903.20","4,802.20",4877.85,"4,877.85",-,1
2007-10-15,"4,891.75","4,967.00","4,863.00",4912.55,"4,912.55",-,0
2007-10-16,"4,912.70","4,955.35","4,815.10",4836.45,"4,836.45",-,1
2007-10-17,"4,742.55","4,897.65","4,572.20",4882.9,"4,882.90",-,0
2007-10-18,"4,939.10","5,037.50","4,846.70",4904.3,"4,904.30",-,0
2007-10-19,"4,959.35","4,979.70","4,818.05",4894.05,"4,894.05",-,0
2007-10-22,"4,824.10","4,858.85","4,779.40",4807.0,"4,807.00",-,1
2007-10-23,"4,839.90","4,890.25","4,797.25",4807.25,"4,807.25",-,0
2007-10-24,"4,860.70","4,884.40","4,739.85",4756.85,"4,756.85",-,1
2007-10-25,"4,757.90","4,789.45","4,719.75",4766.2,"4,766.20",-,0
2007-10-26,"4,766.75","4,844.65","4,742.65",4824.65,"4,824.65",-,0
2007-10-29,"4,838.00","4,900.90","4,836.45",4860.8,"4,860.80",-,0
2007-10-30,"4,869.85","4,888.35","4,801.60",4824.45,"4,824.45",-,0
2007-10-31,"4,828.35","4,833.25","4,759.45",4793.65,"4,793.65",-,0
2007-11-01,"4,811.95","4,836.20","4,738.65",4751.8,"4,751.80",-,0
2007-11-02,"4,686.80","4,758.75","4,655.30",4745.05,"4,745.05",-,0
2007-11-05,"4,743.50","4,769.00","4,667.15",4680.2,"4,680.20",-,1
2007-11-06,"4,679.20","4,716.95","4,646.70",4654.7,"4,654.70",-,0
2007-11-07,"4,597.75","4,633.75","4,489.50",4511.6,"4,511.60",-,1
2007-11-08,"4,493.45","4,493.45","4,431.40",4461.35,"4,461.35",-,1
2007-11-12,"4,395.60","4,395.60","4,297.00",4331.35,"4,331.35",-,1
2007-11-13,"4,320.10","4,369.50","4,270.00",4281.2,"4,281.20",-,1
2007-11-14,"4,376.05","4,473.70","4,375.75",4466.6,"4,466.60",-,0
2007-11-15,"4,465.80","4,465.80","4,369.90",4386.0,"4,386.00",-,1
2007-11-16,"4,382.35","4,398.95","4,336.90",4374.6,"4,374.60",-,0
2007-11-19,"4,365.20","4,436.95","4,356.35",4390.85,"4,390.85",-,0
2007-11-20,"4,385.70","4,385.70","4,268.65",4280.6,"4,280.60",-,1
2007-11-21,"4,268.20","4,300.70","4,179.95",4201.25,"4,201.25",-,1
2007-11-22,"4,232.85","4,232.85","4,141.20",4172.75,"4,172.75",-,0
2007-11-23,"4,177.70","4,271.10","4,177.70",4238.6,"4,238.60",-,0
2007-11-26,"4,255.50","4,353.30","4,255.50",4332.2,"4,332.20",-,0
2007-11-27,"4,338.00","4,363.35","4,284.90",4355.95,"4,355.95",-,0
2007-11-28,"4,367.25","4,393.00","4,300.65",4312.4,"4,312.40",-,0
2007-11-29,"4,342.35","4,400.55","4,258.55",4284.7,"4,284.70",-,0
2007-11-30,"4,303.30","4,452.40","4,303.30",4431.15,"4,431.15",-,0
2007-12-03,"4,434.60","4,562.40","4,434.60",4539.0,"4,539.00",-,0
2007-12-04,"4,538.90","4,558.00","4,505.30",4530.55,"4,530.55",-,0
2007-12-05,"4,530.15","4,550.40","4,499.40",4527.65,"4,527.65",-,0
2007-12-06,"4,529.75","4,594.55","4,529.75",4555.8,"4,555.80",-,0
2007-12-07,"4,644.30","4,723.45","4,493.15",4711.45,"4,711.45",-,0
2007-12-10,"4,729.25","4,763.35","4,663.90",4679.15,"4,679.15",-,0
2007-12-11,"4,695.05","4,714.95","4,650.10",4690.05,"4,690.05",-,0
2007-12-12,"4,652.80","4,667.45","4,569.90",4657.55,"4,657.55",-,0
2007-12-13,"4,658.90","4,665.70","4,566.25",4580.25,"4,580.25",-,1
2007-12-14,"4,580.55","4,604.60","4,551.10",4569.7,"4,569.70",-,0
2007-12-17,"4,607.50","4,611.35","4,447.45",4467.35,"4,467.35",-,1
2007-12-18,"4,469.60","4,488.50","4,402.50",4452.05,"4,452.05",-,0
2007-12-19,"4,468.60","4,512.00","4,447.35",4475.75,"4,475.75",-,0
2007-12-20,"4,462.60","4,614.15","4,450.50",4593.8,"4,593.80",-,0
2007-12-24,"4,608.40","4,885.15","4,608.40",4872.2,"4,872.20",-,0
2007-12-26,"4,883.20","4,919.85","4,818.15",4879.6,"4,879.60",-,0
2007-12-27,"4,887.15","4,913.95","4,839.30",4874.2,"4,874.20",-,0
2007-12-28,"4,766.20","4,854.35","4,766.20",4824.65,"4,824.65",-,1
2007-12-31,"4,833.10","4,860.95","4,778.95",4812.6,"4,812.60",-,0
2008-01-01,"4,809.90","4,814.80","4,738.35",4748.2,"4,748.20",-,1
2008-01-02,"4,747.40","4,765.15","4,659.40",4722.5,"4,722.50",-,0
2008-01-03,"4,679.90","4,704.60","4,602.45",4616.85,"4,616.85",-,1
2008-01-04,"4,616.35","4,654.25","4,581.45",4592.5,"4,592.50",-,0
2008-01-07,"4,580.05","4,580.05","4,453.55",4460.95,"4,460.95",-,1
2008-01-08,"4,473.95","4,522.45","4,437.65",4506.35,"4,506.35",-,0
2008-01-09,"4,511.65","4,597.15","4,511.65",4529.1,"4,529.10",-,0
2008-01-10,"4,544.95","4,599.70","4,417.50",4432.2,"4,432.20",-,1
2008-01-11,"4,391.65","4,509.95","4,363.20",4404.35,"4,404.35",-,0
2008-01-14,"4,405.50","4,413.85","4,259.15",4268.15,"4,268.15",-,1
2008-01-15,"4,278.55","4,307.55","4,185.60",4195.4,"4,195.40",-,1
2008-01-16,"4,188.50","4,206.50","4,132.70",4173.3,"4,173.30",-,0
2008-01-17,"4,205.10","4,205.10","4,123.85",4138.15,"4,138.15",-,0
2008-01-18,"4,139.50","4,145.55","4,041.90",4060.0,"4,060.00",-,1
2008-01-21,"4,031.00","4,042.10","3,712.80",3786.15,"3,786.15",-,1
2008-01-22,"3,770.10","3,847.40","3,318.25",3626.5,"3,626.50",-,1
2008-01-23,"3,792.70","3,880.35","3,640.45",3819.8,"3,819.80",-,0
2008-01-24,"3,891.00","3,944.45","3,696.30",3726.05,"3,726.05",-,1
2008-01-25,"3,727.10","3,983.90","3,727.10",3948.15,"3,948.15",-,0
2008-01-28,"3,874.90","3,895.25","3,704.30",3800.75,"3,800.75",-,1
2008-01-29,"3,803.20","3,921.25","3,803.20",3864.9,"3,864.90",-,0
2008-01-30,"3,864.90","3,873.05","3,820.50",3846.65,"3,846.65",-,0
2008-01-31,"3,850.45","3,914.90","3,776.75",3838.15,"3,838.15",-,0
2008-02-01,"3,856.00","4,102.05","3,849.65",4074.15,"4,074.15",-,0
2008-02-04,"4,099.75","4,296.95","4,099.75",4257.35,"4,257.35",-,0
2008-02-05,"4,257.85","4,257.85","4,103.10",4192.55,"4,192.55",-,1
2008-02-06,"4,191.50","4,191.50","3,956.70",3976.45,"3,976.45",-,1
2008-02-07,"3,973.40","3,992.85","3,829.50",3846.25,"3,846.25",-,1
2008-02-08,"3,844.00","4,004.35","3,844.00",3961.05,"3,961.05",-,0
2008-02-11,"3,961.35","4,044.35","3,876.50",3956.15,"3,956.15",-,0
2008-02-12,"3,972.00","4,063.90","3,865.00",3880.15,"3,880.15",-,1
2008-02-13,"3,870.10","3,930.20","3,817.10",3874.8,"3,874.80",-,0
2008-02-14,"3,900.80","3,988.40","3,900.80",3921.6,"3,921.60",-,0
2008-02-15,"3,877.40","3,969.50","3,857.75",3956.6,"3,956.60",-,0
2008-02-18,"3,959.15","3,981.45","3,884.50",3903.65,"3,903.65",-,1
2008-02-19,"3,898.60","3,994.20","3,898.60",3937.85,"3,937.85",-,0
2008-02-20,"3,964.05","4,003.65","3,926.05",3943.95,"3,943.95",-,0
2008-02-21,"3,966.35","4,139.30","3,966.35",4110.25,"4,110.25",-,0
2008-02-22,"4,109.15","4,109.15","4,000.35",4017.3,"4,017.30",-,1
2008-02-25,"4,044.70","4,088.00","4,005.80",4082.7,"4,082.70",-,0
2008-02-26,"4,124.70","4,147.45","4,090.45",4138.95,"4,138.95",-,0
2008-02-27,"4,138.75","4,192.55","4,048.50",4058.6,"4,058.60",-,1
2008-02-28,"4,067.90","4,079.20","4,015.65",4062.35,"4,062.35",-,0
2008-02-29,"4,055.25","4,060.40","3,932.65",3984.5,"3,984.50",-,1
2008-03-03,"3,932.05","3,937.25","3,793.90",3825.1,"3,825.10",-,1
2008-03-04,"3,863.65","3,863.65","3,759.90",3782.0,"3,782.00",-,1
2008-03-05,"3,812.85","3,917.15","3,777.65",3902.75,"3,902.75",-,0
2008-03-07,"3,880.95","3,880.95","3,703.25",3762.05,"3,762.05",-,1
2008-03-10,"3,742.55","3,797.60","3,676.30",3701.4,"3,701.40",-,1
2008-03-11,"3,700.40","3,700.40","3,649.20",3669.05,"3,669.05",-,0
2008-03-12,"3,698.85","3,778.05","3,606.75",3621.3,"3,621.30",-,1
2008-03-13,"3,583.55","3,583.55","3,406.20",3439.5,"3,439.50",-,1
2008-03-14,"3,394.90","3,546.50","3,394.90",3530.7,"3,530.70",-,0
2008-03-17,"3,454.35","3,473.00","3,388.80",3405.95,"3,405.95",-,1
2008-03-18,"3,415.55","3,508.00","3,377.55",3440.35,"3,440.35",-,0
